,pull_request_id,numEmoji,merged
0,5659721,1,0
1,5714655,1,0
2,5766061,2,0
3,5893007,1,0
4,5984144,1,0
5,5904297,1,0
6,5992438,2,0
7,5714654,1,0
8,5994872,2,0
9,6077422,1,0
10,6133521,1,0
11,5777475,1,0
12,6164974,1,0
13,6149637,1,0
14,6179539,1,0
15,6080256,1,0
16,6245442,5,0
17,6277441,1,0
18,5984512,1,0
19,6350498,1,0
20,6368615,1,0
21,6320475,1,0
22,6414996,1,0
23,6414155,2,0
24,6443061,2,0
25,6475745,2,0
26,6456575,1,0
27,6549347,1,0
28,5719645,1,0
29,6558931,1,0
30,6349922,2,0
31,6659069,2,0
32,6658986,1,0
33,6695444,1,0
34,6656874,1,0
35,6688974,1,0
36,6700656,1,0
37,6692154,1,0
38,6848080,3,0
39,6907349,1,0
40,6960721,2,0
41,7010032,1,0
42,5976259,1,0
43,7055527,1,0
44,7042501,2,0
45,7154634,2,0
46,7209040,1,0
47,6909041,1,0
48,7212742,1,0
49,6982166,2,0
50,7190049,1,0
51,7207427,1,0
52,6950536,1,0
53,7270094,1,0
54,7420860,1,0
55,7046355,1,0
56,7496602,2,0
57,7560763,1,0
58,7581540,1,0
59,7613724,1,0
60,7652078,1,0
61,7606000,1,0
62,7735510,1,0
63,7821487,1,0
64,7884023,1,0
65,8010702,1,0
66,8010388,1,1
67,8093893,1,0
68,8120665,1,0
69,8126721,1,0
70,7909083,1,0
71,8250395,1,0
72,8271799,2,0
73,8296957,1,0
74,8306897,1,0
75,8152960,1,0
76,8317826,2,1
77,8319268,1,0
78,8322058,1,0
79,8349687,8,1
80,8353266,1,0
81,8353864,1,1
82,8372052,1,1
83,8259062,1,0
84,8377886,2,1
85,8143896,1,0
86,8390003,1,1
87,8396570,1,1
88,8410321,1,0
89,8525175,2,1
90,8557789,2,1
91,8569897,1,0
92,8871703,1,1
93,8910582,1,1
94,8913052,1,1
95,9071835,1,0
96,9080095,1,1
97,9080298,1,1
98,9086466,4,0
99,9087263,1,0
100,9092561,1,1
101,9076860,1,0
102,9118342,1,1
103,8370634,1,0
104,9159405,1,1
105,9338432,1,0
106,8962341,1,0
107,9528797,1,1
108,9670981,1,0
109,9694013,1,0
110,9781722,5,0
111,9812719,2,0
112,8519068,2,0
113,9836794,1,0
114,9946963,1,0
115,10056600,1,0
116,10032621,5,0
117,6452567,1,0
118,10163011,1,0
119,10262752,1,0
120,10280887,1,0
121,9630125,1,0
122,9872596,1,0
123,10350935,1,0
124,10556020,1,0
125,10564857,1,0
126,10540397,2,0
127,10563983,1,0
128,10623817,1,0
129,10212571,12,0
130,10769020,1,0
131,10737202,1,0
132,10748394,3,0
133,10679012,1,0
134,10874189,2,0
135,10931848,1,0
136,10945597,2,0
137,10831000,1,0
138,10742548,1,0
139,10970991,1,0
140,11060686,1,0
141,11078314,1,0
142,11112095,4,0
143,11111642,1,0
144,11142569,1,0
145,11149010,2,0
146,11177751,1,0
147,9990146,1,0
148,11197490,1,0
149,11259996,1,0
150,11289820,1,0
151,11363489,1,0
152,11411991,1,0
153,11397747,1,0
154,11420311,1,0
155,11445720,1,0
156,11477362,1,0
157,11571491,2,0
158,11585207,3,0
159,11606947,1,0
160,11690309,1,0
161,11682644,1,0
162,11669979,1,0
163,10926343,1,0
164,11725377,3,0
165,11799004,1,0
166,10947552,1,0
167,11504345,1,0
168,11827096,2,0
169,11936551,2,0
170,11943074,1,0
171,11833625,1,0
172,12029650,1,0
173,10974215,1,0
174,11947769,1,0
175,12198340,1,0
176,12226293,1,0
177,12263606,1,0
178,12272516,1,0
179,12324985,1,0
180,12320434,2,0
181,12533856,1,0
182,12379411,1,0
183,12578562,1,0
184,12454440,1,0
185,12622115,1,0
186,12624658,1,0
187,12633483,1,0
188,12280975,1,0
189,11068055,1,0
190,12712305,1,0
191,12719861,1,0
192,12677758,1,0
193,12705538,1,0
194,12754397,3,0
195,11513145,1,0
196,12788276,1,0
197,12820521,1,0
198,12841564,1,0
199,12685027,1,1
200,12974526,1,0
201,13040413,1,0
202,13069343,1,0
203,13088777,2,0
204,13088451,1,0
205,13164391,1,0
206,13135563,1,0
207,13179277,1,0
208,13165327,1,0
209,13185883,1,0
210,13185293,1,0
211,13229458,2,0
212,13313582,3,0
213,12865056,1,1
214,13364044,1,0
215,13338378,1,0
216,13364505,1,0
217,13412240,2,0
218,13407460,1,0
219,13457445,1,0
220,13408528,2,0
221,13394208,1,0
222,13313762,1,0
223,13456890,3,0
224,13281378,1,0
225,13511009,1,0
226,13503503,1,0
227,13508323,1,0
228,12760871,2,0
229,13560322,1,0
230,13543980,1,0
231,13446848,1,0
232,13277137,1,0
233,13452265,1,0
234,13621262,1,0
235,13620810,1,0
236,13594910,1,0
237,12993456,1,0
238,13517083,11,0
239,13657657,1,0
240,13708580,1,0
241,13408606,1,0
242,13772785,1,1
243,13436777,2,0
244,13795007,1,1
245,13774886,1,0
246,12859565,2,0
247,13156804,1,0
248,13706827,1,0
249,13787012,4,0
250,13828553,1,1
251,13773166,1,0
252,13835791,1,0
253,13784878,1,0
254,13780053,1,0
255,13816980,5,0
256,13625261,1,0
257,13848580,3,0
258,13673902,2,0
259,13875066,2,0
260,13831102,1,0
261,13946709,1,1
262,13764736,3,0
263,13522415,1,0
264,13967754,1,0
265,13952202,1,0
266,13876705,2,0
267,13470574,10,0
268,13977574,1,0
269,13979483,1,0
270,14005111,1,0
271,14012828,1,0
272,13921551,1,0
273,14013592,1,0
274,14015416,8,0
275,14026475,1,0
276,13876563,1,1
277,14005869,1,0
278,14061198,1,0
279,14096596,1,0
280,14111642,5,0
281,14115304,1,0
282,14116633,1,0
283,14116060,1,0
284,13876243,4,1
285,14142404,1,0
286,14036704,1,0
287,14071146,1,0
288,14113674,1,0
289,13898714,1,0
290,14171515,1,1
291,14086572,1,0
292,14111144,1,0
293,14174100,1,0
294,13784860,2,0
295,14209257,1,0
296,12554436,1,0
297,14047613,1,0
298,14007784,2,0
299,14127224,1,0
300,13874070,1,0
301,14224095,1,0
302,14223654,1,0
303,14218426,1,0
304,14199727,1,0
305,14250263,1,0
306,14248285,1,0
307,14017267,1,0
308,10419882,1,0
309,14258252,1,0
310,14230623,1,0
311,14231667,1,0
312,13866717,1,0
313,14269473,4,0
314,14303258,2,0
315,14310441,1,0
316,14299268,1,0
317,14309052,2,0
318,13818188,1,0
319,14316729,1,0
320,14302752,2,0
321,14323270,1,0
322,14165215,2,0
323,14335247,1,0
324,14201230,2,0
325,14337955,1,0
326,14338334,1,0
327,14352969,1,0
328,13750988,1,0
329,14342813,1,0
330,14382549,1,0
331,14215435,1,0
332,14318204,1,0
333,14291475,2,0
334,14379788,1,0
335,14397825,2,0
336,14385714,1,0
337,14365724,1,0
338,14435375,1,0
339,14440273,1,0
340,14443857,1,0
341,13690719,1,1
342,14268078,1,0
343,14311138,1,0
344,14434973,1,0
345,14330647,1,0
346,14433483,1,1
347,14481843,1,0
348,14410284,1,0
349,14470261,1,1
350,14497240,2,0
351,14473840,2,0
352,14488053,1,0
353,14495139,1,0
354,14379595,2,0
