,res_time
0,5397.366
1,1.4640000000000002
2,11.267999999999999
3,1.614
4,28.932000000000002
5,0.966
6,2963.982
7,1.482
8,307.002
9,0.7320000000000001
10,0.966
11,0.834
12,5.1659999999999995
13,9.432
14,18.282
15,899.202
16,15510.732
17,4.068
18,2.0820000000000003
19,0.318
20,0.132
21,0.534
22,3.7979999999999996
23,0.636
24,23.166
25,0.44999999999999996
26,5.586
27,0.552
28,7.248
29,0.516
30,1198.266
31,25.535999999999998
32,48.666000000000004
33,15.581999999999999
34,10.398
35,5.586
36,6.366
37,1227.6000000000001
38,0.486
39,0.648
40,159.98399999999998
41,68.664
42,4.433999999999999
43,1.9680000000000002
44,2.802
45,2.1479999999999997
46,8.466000000000001
47,1.548
48,7.668
49,1.734
50,13.698
51,13.482000000000001
52,2845.7819999999997
53,2.4480000000000004
54,4.164000000000001
55,7068.563999999999
56,1.416
57,14.634
58,9.485999999999999
59,5.6160000000000005
60,3.552
61,52.734
62,3.9179999999999997
63,2.718
64,3.984
65,2.052
66,19.752
67,4.164000000000001
68,1.818
69,0.7979999999999999
70,3.048
71,7.482
72,1.536
73,105.186
74,1.134
75,1.416
76,6.684
77,61.650000000000006
78,27.966
79,0.684
80,0.9840000000000001
81,1.266
82,1076.898
83,34.464
84,86.484
85,0.28200000000000003
86,4.8
87,1.9500000000000002
88,11.148
89,1.1640000000000001
90,2.286
91,42.852
92,1.65
93,4.901999999999999
94,15.486
95,21.348
96,0.3
97,36.234
98,0.618
99,511.76400000000007
100,1.452
101,8331.252
102,0.114
103,0.486
104,0.684
105,4.914
106,2.652
107,0.786
108,1.284
109,5.268
110,0.8520000000000001
111,361.836
112,0.5640000000000001
113,57.45
114,1102.452
115,23.886
116,3.966
117,2.382
118,82.548
119,0.28200000000000003
120,4.584
121,7.632000000000001
122,82.032
123,1004.082
124,0.036
125,2.184
126,2.6999999999999997
127,2.766
128,95.502
129,34.416
130,637.1999999999999
131,835.482
132,0.384
133,1.314
134,1.386
135,12974.964
136,1.386
137,1.098
138,0.048
139,2.4480000000000004
140,8.214
141,0.216
142,233.46599999999998
143,0.8520000000000001
144,2.364
145,33.132000000000005
146,3.8160000000000003
147,135.252
148,7.4639999999999995
149,0.336
150,0.648
151,28.782
152,1.566
153,5.034
154,6.468
155,3.114
156,0.882
157,4.416
158,4246.098
159,6.3180000000000005
160,0.384
161,1.932
162,13.398
163,25.134
164,2806.4339999999997
165,0.816
166,6.702
167,3.552
168,0.7140000000000001
169,5.25
170,0.5820000000000001
171,0.648
172,0.486
173,6.648
174,90.88199999999999
175,0.684
176,0.414
177,1290.0359999999998
178,2.532
179,1.098
180,1444.584
181,5373.036
182,2.0820000000000003
183,1.302
184,1.05
185,10.968
186,0.9179999999999999
187,349.434
188,1.632
189,831.15
190,4.218
191,701.082
192,50.784000000000006
193,1.182
194,1.5
195,2.916
196,5.598
197,0.636
198,0.516
199,1.182
200,6080.166
201,0.648
202,84.63600000000001
203,10.968
204,91.65
205,2.616
206,12.534
207,4490.664
208,5.364
209,11.886
210,0.498
211,20.136
212,2.598
213,2.034
214,126.58200000000001
215,3631.068
216,33.816
217,59.352
218,7.3020000000000005
219,68.136
220,5.598
221,2.052
222,56.501999999999995
223,3.786
224,5.364
225,0.414
226,0.966
227,5.814
228,0.7320000000000001
229,1.236
230,3.15
231,7196.063999999999
232,2.034
233,6.6
234,4.386
235,61.217999999999996
236,0.264
237,2.016
238,115.83600000000001
239,10.584
240,1.848
241,6.882
242,1.2
243,2.1479999999999997
244,0.36600000000000005
245,1.632
246,0.402
247,4.764
248,8.549999999999999
249,16.236
250,271.61400000000003
251,2592.732
252,39.75
253,807.216
254,397.014
255,1000.536
256,0.384
257,6155.298000000001
258,3.552
259,0.318
260,70379.352
261,21.785999999999998
262,2.664
263,3.666
264,3.834
265,114.198
266,68.268
267,1.716
268,49.686
269,5.064
270,17.502000000000002
271,1.236
272,3.7319999999999998
273,347.268
274,2.166
